Place,mentioned in
https://pleiades.stoa.org/places/108894,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l27
https://pleiades.stoa.org/places/1306,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta006.pta-grc1:l7
https://pleiades.stoa.org/places/1306,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l28
https://pleiades.stoa.org/places/1306,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l57
https://pleiades.stoa.org/places/156668177,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta003.pta-grc1:l28
https://pleiades.stoa.org/places/156668177,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta003.pta-grc1:l30
https://pleiades.stoa.org/places/187290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l2
https://pleiades.stoa.org/places/187290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l3
https://pleiades.stoa.org/places/187290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l18
https://pleiades.stoa.org/places/187290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l28
https://pleiades.stoa.org/places/187290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l29
https://pleiades.stoa.org/places/187290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l41
https://pleiades.stoa.org/places/197446,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l1
https://pleiades.stoa.org/places/20419,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l9
https://pleiades.stoa.org/places/20468,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0007.pta007.pta-grc1:l8
https://pleiades.stoa.org/places/207065,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l13
https://pleiades.stoa.org/places/207303,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l17
https://pleiades.stoa.org/places/207439,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l16
https://pleiades.stoa.org/places/207439,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l14
https://pleiades.stoa.org/places/207439,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l16
https://pleiades.stoa.org/places/207439,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l50
https://pleiades.stoa.org/places/207447,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l68
https://pleiades.stoa.org/places/207549,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l20
https://pleiades.stoa.org/places/260940008,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta019.pta-grc1:l3
https://pleiades.stoa.org/places/260940008,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta019.pta-grc1:l4
https://pleiades.stoa.org/places/29475,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta013.pta-grc1:l1
https://pleiades.stoa.org/places/334481,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0007.pta007.pta-grc1:l3
https://pleiades.stoa.org/places/373869,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta004.pta-grc1:l1
https://pleiades.stoa.org/places/373869,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta004.pta-grc1:l7
https://pleiades.stoa.org/places/373879,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta003.pta-grc1:l18
https://pleiades.stoa.org/places/383706,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l9
https://pleiades.stoa.org/places/383706,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l13
https://pleiades.stoa.org/places/383706,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l14
https://pleiades.stoa.org/places/383706,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l65
https://pleiades.stoa.org/places/383815,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l25
https://pleiades.stoa.org/places/383816,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l5
https://pleiades.stoa.org/places/39290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l29
https://pleiades.stoa.org/places/39290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l35
https://pleiades.stoa.org/places/39290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l38
https://pleiades.stoa.org/places/39290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l40
https://pleiades.stoa.org/places/39290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l41
https://pleiades.stoa.org/places/39290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l43
https://pleiades.stoa.org/places/39290,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l221
https://pleiades.stoa.org/places/39303,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l46
https://pleiades.stoa.org/places/39303,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l47
https://pleiades.stoa.org/places/39303,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l48
https://pleiades.stoa.org/places/39303,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l51
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l22
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l32
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l34
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l36
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l37
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l40
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l42
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l46
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l48
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l50
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l56
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l59
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l60
https://pleiades.stoa.org/places/393379,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l67
https://pleiades.stoa.org/places/393473,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l4
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta011.pta-grc1:l10
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta018.pta-grc1:l1
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta018.pta-grc1:l2
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta004.pta-grc1:l8
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l11
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l23
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l37
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta013.pta-grc1:l3
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l3
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l54
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l64
https://pleiades.stoa.org/places/423025,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l66
https://pleiades.stoa.org/places/432754,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l7
https://pleiades.stoa.org/places/432754,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l40
https://pleiades.stoa.org/places/462492,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l13
https://pleiades.stoa.org/places/465843763,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta003.pta-grc1:l38
https://pleiades.stoa.org/places/472014,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l39
https://pleiades.stoa.org/places/472014,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l24
https://pleiades.stoa.org/places/472014,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l26
https://pleiades.stoa.org/places/472014,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l18
https://pleiades.stoa.org/places/481865,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta013.pta-grc1:l2
https://pleiades.stoa.org/places/491656,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta008.pta-grc1:l5
https://pleiades.stoa.org/places/491656,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l9
https://pleiades.stoa.org/places/491656,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l15
https://pleiades.stoa.org/places/491740,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l42
https://pleiades.stoa.org/places/501482,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0004.pta001.pta-grcBibex:l35
https://pleiades.stoa.org/places/501638,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l41
https://pleiades.stoa.org/places/501638,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l44
https://pleiades.stoa.org/places/501638,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l70
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta004.pta-grc1:l5
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta014.pta-grc1:l3
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta014.pta-grc1:l5
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta003.pta-grc1:l22
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta003.pta-grc1:l26
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l6
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l21
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l23
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l24
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l25
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l26
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l27
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l31
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l33
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l35
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l38
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l39
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l43
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l45
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l47
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l49
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l51
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l55
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l57
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l58
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l61
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l73
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l74
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l9
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l10
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l13
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l15
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l17
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l18
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l20
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l21
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l22
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l51
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l52
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l54
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l55
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l4
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l5
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l6
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l7
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l28
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l29
https://pleiades.stoa.org/places/511268,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l30
https://pleiades.stoa.org/places/511337,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta003.pta-grc1:l7
https://pleiades.stoa.org/places/520998,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l71
https://pleiades.stoa.org/places/530871,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l10
https://pleiades.stoa.org/places/540775,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l29
https://pleiades.stoa.org/places/570220,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l6
https://pleiades.stoa.org/places/579885,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta004.pta-grc1:l3
https://pleiades.stoa.org/places/589748,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l12
https://pleiades.stoa.org/places/589748,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l20
https://pleiades.stoa.org/places/599612,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta026.pta-grc1:l4
https://pleiades.stoa.org/places/599612,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0007.pta007.pta-grc1:l7
https://pleiades.stoa.org/places/609307,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta004.pta-grc1:l2
https://pleiades.stoa.org/places/628949,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta012.pta-grc1:l2
https://pleiades.stoa.org/places/628949,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l27
https://pleiades.stoa.org/places/628949,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta017.pta-grc1:l5
https://pleiades.stoa.org/places/629035,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l21
https://pleiades.stoa.org/places/629035,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta012.pta-grc1:l1
https://pleiades.stoa.org/places/638965,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l16
https://pleiades.stoa.org/places/638965,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l22
https://pleiades.stoa.org/places/639034,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l15
https://pleiades.stoa.org/places/639034,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l21
https://pleiades.stoa.org/places/648653,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l69
https://pleiades.stoa.org/places/648653,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta016.pta-grc1:l23
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta010.pta-grc1:l22
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta014.pta-grc1:l72
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l8
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l11
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l12
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta017.pta-grc1:l1
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta017.pta-grc1:l6
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0037.pta001.pta-grc1:l165
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0037.pta001.pta-grc1:l173
https://pleiades.stoa.org/places/658381,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0037.pta001.pta-grc1:l183
https://pleiades.stoa.org/places/668190,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l56
https://pleiades.stoa.org/places/668332,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta015.pta-grc1:l28
https://pleiades.stoa.org/places/678054,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l210
https://pleiades.stoa.org/places/678054,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l222
https://pleiades.stoa.org/places/678060,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta003.pta-grc1:l6
https://pleiades.stoa.org/places/678084,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta003.pta-grc1:l40
https://pleiades.stoa.org/places/678106,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0004.pta001.pta-grcBibex:l40
https://pleiades.stoa.org/places/678109,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0022.pta004.pta-grc1:l5
https://pleiades.stoa.org/places/678143,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l54
https://pleiades.stoa.org/places/678143,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l58
https://pleiades.stoa.org/places/678143,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0003.pta020.pta-grcBibex3:l60
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta003.pta-grc1:l9
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta003.pta-grc1:l15
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta003.pta-grc1:l17
https://pleiades.stoa.org/places/678145,https://pta.bbaw.de/text/409514a/urn:cts:pta:pta0001.pta003.pta-grc1:l35
